[20974.636363] GC: mov data/node block	gc_type=BG
[20974.636368] GC: segno[520] valid blocks[453]
[20974.645463] inode=7772, blkindex=2926 blkaddr=272896
[20974.645481] inode=7772, blkindex=2927 blkaddr=272897
[20974.645485] inode=7786, blkindex=2960 blkaddr=272898
[20974.645488] inode=7786, blkindex=2961 blkaddr=272899
[20974.645491] inode=7786, blkindex=2962 blkaddr=272900
[20974.645492] inode=7786, blkindex=2963 blkaddr=272901
[20974.645497] inode=7786, blkindex=2964 blkaddr=272902
[20974.645498] inode=7786, blkindex=2965 blkaddr=272903
[20974.645500] inode=7786, blkindex=2966 blkaddr=272904
[20974.645502] inode=7786, blkindex=2967 blkaddr=272905
[20974.645504] inode=7786, blkindex=2968 blkaddr=272906
[20974.645506] inode=7786, blkindex=2969 blkaddr=272907
[20974.645508] inode=7786, blkindex=2970 blkaddr=272908
[20974.645510] inode=7786, blkindex=2971 blkaddr=272909
[20974.645517] inode=7780, blkindex=2904 blkaddr=272910
[20974.645519] inode=7780, blkindex=2905 blkaddr=272911
[20974.645522] inode=7780, blkindex=2906 blkaddr=272912
[20974.645524] inode=7780, blkindex=2907 blkaddr=272913
[20974.645526] inode=7780, blkindex=2908 blkaddr=272914
[20974.645528] inode=7780, blkindex=2909 blkaddr=272915
[20974.659152] inode=7780, blkindex=2910 blkaddr=272916
[20974.659166] inode=7770, blkindex=2855 blkaddr=272917
[20974.659170] inode=7770, blkindex=2856 blkaddr=272918
[20974.659172] inode=7770, blkindex=2857 blkaddr=272919
[20974.659174] inode=7770, blkindex=2858 blkaddr=272920
[20974.659176] inode=7770, blkindex=2859 blkaddr=272921
[20974.659178] inode=7770, blkindex=2860 blkaddr=272922
[20974.659179] inode=7770, blkindex=2861 blkaddr=272923
[20974.659181] inode=7770, blkindex=2862 blkaddr=272924
[20974.659183] inode=7770, blkindex=2863 blkaddr=272925
[20974.659185] inode=7770, blkindex=2864 blkaddr=272926
[20974.659189] inode=7770, blkindex=2865 blkaddr=272927
[20974.659191] inode=7770, blkindex=2866 blkaddr=272928
[20974.659193] inode=7770, blkindex=2867 blkaddr=272929
[20974.659195] inode=7762, blkindex=2960 blkaddr=272930
[20974.659199] inode=7762, blkindex=2961 blkaddr=272931
[20974.659201] inode=7762, blkindex=2962 blkaddr=272932
[20974.659202] inode=7762, blkindex=2963 blkaddr=272933
[20974.659204] inode=7762, blkindex=2964 blkaddr=272934
[20974.659206] inode=7762, blkindex=2965 blkaddr=272935
[20974.659208] inode=7762, blkindex=2966 blkaddr=272936
[20974.659209] inode=7762, blkindex=2967 blkaddr=272937
[20974.659212] inode=7754, blkindex=2901 blkaddr=272938
[20974.659215] inode=7754, blkindex=2902 blkaddr=272939
[20974.659217] inode=7754, blkindex=2903 blkaddr=272940
[20974.659220] inode=7754, blkindex=2904 blkaddr=272941
[20974.659222] inode=7754, blkindex=2905 blkaddr=272942
[20974.659224] inode=7754, blkindex=2906 blkaddr=272943
[20974.659225] inode=7754, blkindex=2907 blkaddr=272944
[20974.659227] inode=7754, blkindex=2908 blkaddr=272945
[20974.659229] inode=7754, blkindex=2909 blkaddr=272946
[20974.659231] inode=7754, blkindex=2910 blkaddr=272947
[20974.659233] inode=7754, blkindex=2911 blkaddr=272948
[20974.659235] inode=7754, blkindex=2912 blkaddr=272949
[20974.659238] inode=7764, blkindex=2892 blkaddr=272961
[20974.659257] inode=7764, blkindex=2893 blkaddr=272962
[20974.659261] inode=7764, blkindex=2894 blkaddr=272963
[20974.659263] inode=7764, blkindex=2895 blkaddr=272964
[20974.659265] inode=7764, blkindex=2896 blkaddr=272965
[20974.659268] inode=7764, blkindex=2897 blkaddr=272966
[20974.659270] inode=7764, blkindex=2898 blkaddr=272967
[20974.659272] inode=7764, blkindex=2899 blkaddr=272968
[20974.659274] inode=7764, blkindex=2900 blkaddr=272969
